stop,lat,long
govindaraj nagara govindaraja nagara in front of govindaraja swamy temple,12.9755,77.537
dandu palya,13.0781,77.809
southend circle basavanagudi beside ntt data office,12.9368,77.577
gulganjanahalli gulaganjanahalli beside maramma temple,12.9367,77.419
andrahalli ittharahalli opposite of akkandeshwari temple,13.1234,77.744
rajajinagar esi rajajinagara beside keb power house,12.9896,77.551
yeshwanathapura new railway station,13.0231,77.55
jn of 80 and 100 feet road koramangala ring road beside sony center,12.937,77.627
kanminike kaniminike in front of government primary school,12.8632,77.434
quality biscuits,12.9472,77.532
subramanyanagara subramanya nagra beside ravi wine shop,13.0048,77.56
delli public school balaji nagara beside euro school,13.1235,77.64
binni pete binni pete opposite of car ground,12.9644,77.562
ramohalli ramohalli in front of water tank,12.9073,77.418
patalamma temple beside patalamma temple,13.1836,77.57
kammana halli kammanahalli in front of st charles high school,13.0176,77.636
bagaluru cross in front of coconut tree farm,13.1213,77.611
kalli palya kalli palya in front of water tank,13.1054,77.304
museum kasturba road opposite of ub tower,12.9739,77.596
p&t kadugondanahalli police station k.g.halli in front of khadims,13.0134,77.617
bellanduru gate,12.9188,77.67
rms sanjaya nagara beside mamata hospital,13.0379,77.574
bannikuppe bannikuppe in front of basavanna temple,12.847,77.384
kacharakana halli ,13.0214,77.63
saffal market kaji sonnenahalli opposite of safal daily fresh,13.038,77.76
suryodaya mill,13.0241,77.548
hebbal hebbala beside pitty shop,13.0425,77.59
jyothi school lingarajapura kacharakanahalli in front of bethel church,13.0153,77.629
kabhir ashrama,13.0579,77.564
jayanagara 5th block jayanagara 5th block beside griha vaibhava family shop,12.9172,77.583
guni agrahara guni agrahara beside anjanejya temple,13.0983,77.525
hsr bda complex,12.9124,77.638
white field post office whitefield beside vaswani pinnacle(left side),12.9678,77.749
sirsi circle,12.9616,77.561
nagasandra cross nagasandra cross beside annapoorneshwari traders,13.0386,77.504
rajaji nagar 1st block rajajinagara opposite of diacon hospital,13.0038,77.55
jayanagara 40th cross jayanagara 5th block beside lic office,12.92,77.581
thimmappana palya in front of bytaraya temple,12.8417,77.392
konanakunte cross kanakapura road,12.8907,77.565
super talkies cottonpet opposite of super talkies,12.9677,77.57
jeevanbhimanagara petrol bunk hal 3rd stage beside of indian oil petrol bank,12.9676,77.655
mandooru manduru in front of government primary school,13.082,77.738
prasanna talkies magadi road,12.974,77.551
gowdana palya telecom nagara beside sri balaji c.d.centre,12.9115,77.556
samanduru attibele-hubli opposite of sri basaveshwara temple,12.7154,77.753
tyavakanahalli sarjapura hobli near s.v.s. provision store,12.8276,77.786
vinayaka layout vinayaka layout in front of nagaraj orthoparolic clinic,12.9655,77.53
vivekanagar cross,12.9547,77.621
jhbcs cross j.h.b.c.s.colony in front of jaraganahalli housing society ltd,12.913,77.565
bettahalasuru cross in front of indian oil petrol bunk,13.1565,77.623
mutturayanaswamy doddi,12.7595,77.62
kempapura agrahara k.p.agrahara in front of kadapa swamy matha,12.9691,77.555
basvanagara bus station hal beside basaveshwara statue,12.9669,77.683
kullegowdanapalya k.gollahalli in front of water tank,12.8467,77.447
sadappanahalli sadapanahalli beside om shakthi traders,13.1629,77.793
maramma temple j.j.nagara opposite of mariyamma temple,12.9627,77.559
linganahalli beside open area,13.1581,77.524
banashankari 3rd stage 2nd phase beside hosakerehalli vidya nagara new bus stand,12.9342,77.54
royan circle,12.9604,77.568
coles park frazer town opposite of coles park bwssb,12.9934,77.61
saraswathi nagara vijayanagara saraswathi nagara in front of vijayanagara police out post,12.9719,77.529
hmt post office h.m.t. in front of water tank,13.0506,77.542
koyira devana halli road,13.2981,77.629
jyothi nivas college koramangala opposite of bharat petrol bunk,12.9354,77.615
delmia jp nagara 5th phase beside anugraha builders & developers,12.9061,77.594
town hall opposite of rani channamma statue,12.9635,77.585
dattatreya temple malleshwaram beside dattatreya devastana,12.999,77.574
shanubhoganahalli shanubhogana halli opposite of govt.higher primary school,12.8268,77.561
jn of 8th main and 3rd cross kalyana nagara in front of kumar stores,13.0182,77.647
gandipura white field in front of govt. school gandhi pura,12.9697,77.753
banashankari bda complex banashankari 2nd stage biside hdfc bank,12.9244,77.565
basaveshwara nagara 3rd stage saneguruvanahalli in front of g.k.convent & high school,12.9893,77.543
canara bank hebbala frazer town in front of v.r.shabbir ahmed stores,13.0066,77.613
ramagondanahalli yelahanka opposite of adishakthi temple,13.1194,77.559
honnagana hatti honnagana hatti in front of bylanajaneya enterprises,12.9743,77.421
thirumenahalli gate thirumenahalli in front of anjaneya temple,13.1107,77.745
kuvempu circle,13.0438,77.562
kannamangala palya kannamangala palya opposite of anjaneya temple,13.2217,77.67
russel market,12.9855,77.605
k narayanapura cross,13.0676,77.634
corporation corporation in front of banappa park,12.9685,77.586
income tax layout vijayanagara beside fine fair textile and garments,12.9598,77.532
peddanapalya school tavarekere opposite of government school,12.9597,77.389
govinda pura govindapura opposite of saleem real estate,13.0341,77.615
cbi office ganganagara beside riti jewellery,13.0268,77.586
nagasandra circle basavanagudi beside prosper park appartment,12.9367,77.572
indira nursing home banashankari 2nd stage opposite of muthoot finance,12.929,77.564
yale kodigehalli colony kodigehalli in front of ganesh studio,12.9807,77.467
itpl whitefield in front of park square i.t.p.l.,12.9874,77.736
malleshwaram 18th cross malleshwaram beside park,13.0086,77.571
shiva ittige factory opposite of brick factory,12.9275,77.85
beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex,12.9196,77.52
hakki pikki colony bhootanahalli in front of overhead tank,12.8024,77.559
akkithimmana halli shanthi nagara in fornt of metro poles,12.9619,77.598
chikkanahalli in front of panchayath office,12.8813,77.355
basavanagara bus stand,12.9669,77.683
north road basavanagudi beside adhi basava temple,12.9483,77.571
raja rajeshwari temple rajeshwari nagara beside raja rajeshwari temple,12.9272,77.511
kirloskar badavane kirloskar layout beside open area,13.0674,77.5
nayanappanahalli cross bommanahalli circle opposite of bharath petroleum bank,12.9035,77.627
guttepalya guttepalya beside open area,13.1673,77.412
mallasandra bagalagunte mallasandra beside primary health center,13.0573,77.509
malleshwaram railway station subramanya nagara opposite of malleshwaram railway station,13.0007,77.563
kodihalli hesarugatta kodihalli opposite of govt.school anganavadi,13.0181,77.812
kaggalipura kaglipura in front of ganesha temple,12.8025,77.509
marappa garden last stop,13.0046,77.6
thimmayya garden rt nagara opposite of shri byraveshwara swami temple arch,13.0184,77.599
gangena halli gangenahalli beside sri maramma devi prasanna temple,12.9833,77.393
iti colony vidya peeta circle vinayakanagara opposite of sbi bank,12.9332,77.558
rajaji nagar industrial area rajajinagara industrial town beside veeranjaneya temple,12.9812,77.549
devagere colony devagere in front of flag mast,12.8568,77.465
manchanabele colony manchana bele opposite of water tank,12.8716,77.34
ck thandya c.k.thandya in front of water tank,12.8739,77.399
beguru opposite of lakshmi narasimha temple,13.1836,77.681
puttaiana palya,12.9599,77.407
machanayakanahalli machonayakanahalli in front of govt. primary school,13.145,77.38
drdo 2nd phase kagadasapura beside d.r.d.o. bus stand,12.9857,77.679
kadabagere gate,12.9891,77.45
